mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.07823548316955567,0.012559599637327072,0.006813955307006836,0.003130335270148244,0.01,3,50,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50}",0.843756103754053,0.8119117647058823,0.8061818608104412,0.8499765588373183,0.8686217008797653,0.836089597797492,0.02361779446159881,12
0.11994051933288574,0.03442468919262582,0.005301141738891601,0.0026432214222760963,0.01,3,100,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",0.8749609313955306,0.8119117647058823,0.8434503541935736,0.8687038411941698,0.8874824191279889,0.857301862123429,0.02685084390069408,10
0.17953991889953613,0.035540362927910685,0.0035535812377929686,0.00022203426510177134,0.01,6,50,"{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 50}",0.8560532746823067,0.8687346137313898,0.8187429196452987,0.8561994451174242,0.8625,0.8524460506352838,0.01748942686057027,11
0.4385066986083984,0.07693477416332407,0.007775306701660156,0.0036355203384804877,0.01,6,100,"{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100}",0.8811803954515259,0.8873943827257079,0.843743896245947,0.8999843725582121,0.9124863259884357,0.8849578745939658,0.023248265350626757,9
0.04561557769775391,0.0038829631667549242,0.0039082527160644535,0.0008770190355280343,0.1,3,50,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}",0.9499843652282676,0.8810873351336543,0.8624140087554721,0.9249882794186591,0.9187468260478925,0.9074441629167891,0.031520190941584425,7
0.09598097801208497,0.025748486170846865,0.006501102447509765,0.0038505019596051467,0.1,3,100,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.9312419430446501,0.8810873351336543,0.8686217008797653,0.924953095684803,0.9374902328488826,0.9086788615183512,0.028177675242204,6
0.17776727676391602,0.029561964641700737,0.004843950271606445,0.0018497865953921216,0.1,6,50,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 50}",0.9312419430446501,0.8936044577511643,0.8687038411941698,0.9312473143482167,0.9062463377475684,0.9062087788171539,0.023744802543263346,8
0.22896780967712402,0.07319150282296329,0.004341840744018555,0.001673846720513488,0.1,6,100,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}",0.9375,0.8936044577511643,0.8811339198435973,0.9374902328488826,0.9187468260478925,0.9136950872983075,0.022900942803808458,2
0.04260444641113281,0.012570214236974166,0.004292964935302734,0.0017341670056888212,0.2,3,50,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 50}",0.943752197351459,0.8873943827257079,0.8684982975226019,0.9312258215778986,0.9312473143482167,0.9124236027051769,0.02913839626757828,4
0.07728462219238282,0.022189125334708844,0.003980398178100586,0.0016937762759759692,0.2,3,100,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 100}",0.9312419430446501,0.8999687304565352,0.8874296435272045,0.9437302176546443,0.9312473143482167,0.9187235698062501,0.0213069946425763,1
0.08345880508422851,0.013858294741780425,0.0031221389770507814,0.0003475790437640925,0.2,6,50,"{'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 50}",0.9374804656977652,0.8999687304565352,0.8812082372709156,0.9187468260478925,0.912445278298937,0.9099699075544091,0.018800264831977893,5
0.10179038047790527,0.0048799421010459415,0.003017139434814453,0.00019104547243420294,0.2,6,100,"{'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 100}",0.9437434079456228,0.8874648217636022,0.8749218261413384,0.9312258215778986,0.9249882794186591,0.9124688313694242,0.02653917293031096,3
